Date,Score
2003-01-29,0.8771750330924990
2003-03-18,0.8637198805809020
2003-05-06,0.8976147174835210
2003-06-25,0.9188771843910220
2003-08-12,0.8905254602432250
2003-09-16,0.8979430198669430
2003-10-28,0.8979430198669430
2003-12-09,0.9024128913879400
2004-01-28,0.9038237929344180
2004-03-16,0.9036291241645810
2004-05-04,0.9088958501815800
2004-06-30,0.8992710113525390
2004-08-10,0.9029169678688050
2004-09-21,0.9121161103248600
2004-11-10,0.9001068472862240
2004-12-14,0.8959119319915770
2005-02-02,0.9041380286216740
2005-03-22,0.9056412577629090
2005-05-03,0.9146252274513250
2005-06-30,0.924798309803009
2005-08-09,0.929663360118866
2006-01-31,0.9242410063743590
2006-03-28,0.9286825060844420
2006-05-10,0.9366983771324160
2006-06-29,0.9327157735824590
2006-08-08,0.9146208763122560
2006-09-20,0.908237636089325
2006-10-25,0.9039736390113830
2006-12-12,0.8963468670845030
2007-01-31,0.8995832204818730
2007-03-21,0.8982934951782230
2007-05-09,0.8980634808540340
2007-06-18,0.8884806632995610
2007-08-07,0.859611451625824
2007-08-10,0.830365002155304
2007-08-17,0.8228564858436580
2007-09-18,0.8193891644477840
2007-10-31,0.8308308124542240
2007-12-11,0.8731713891029360
2008-01-22,0.8565199971199040
2008-01-30,0.8695559501647950
2008-03-11,0.8393641710281370
2008-03-18,0.8358888030052190
2008-04-30,0.8908118009567260
2008-06-25,0.8949857950210570
2008-08-05,0.8786332607269290
2008-09-16,0.8459413051605230
2008-10-08,0.678925633430481
2008-10-29,0.7026273608207700
2008-12-16,0.49730032682418800
2009-01-28,0.5152190923690800
2009-03-18,0.6765437126159670
2009-04-29,0.6540203094482420
2009-06-24,0.7296499013900760
2009-08-12,0.6964305639266970
2009-09-23,0.6532239317893980
2009-11-04,0.6520466804504400
2009-12-16,0.493469774723053
2010-01-27,0.6631602644920350
2010-03-16,0.7333930134773250
2010-04-28,0.7486127018928530
2010-05-09,0.5579768419265750
2010-06-23,0.5441436171531680
2010-08-10,0.5838191509246830
2010-09-21,0.5565010905265810
2010-11-03,0.3980591595172880
2010-12-14,0.43121054768562300
2011-01-26,0.3825124204158780
2011-03-15,0.4757402539253240
2011-04-27,0.5307400822639470
2011-06-22,0.3877509832382200
2011-08-09,0.2981439530849460
2011-09-21,0.3442040681838990
2011-11-02,0.448436439037323
2011-12-13,0.43805044889450100
2012-01-25,0.3890131413936620
2012-03-13,0.4750758409500120
2012-04-25,0.559328019618988
2012-06-20,0.5272271037101750
2012-08-01,0.5541344881057740
2012-09-13,0.5043431520462040
2012-10-24,0.6249856948852540
2012-12-12,0.3984362483024600
2013-01-30,0.21616780757904100
2013-03-20,0.1606813669204710
2013-05-01,0.09014507383108140
2013-06-19,0.05602945014834400
2013-07-31,0.036200594156980500
2013-09-18,0.023914111778140100
2013-10-30,0.018452689051628100
2013-12-18,0.016239533200860000
2014-01-29,0.00741196796298027
2014-03-19,0.009915219619870190
2014-04-30,0.010048768483102300
2014-06-18,0.010048768483102300
2014-07-30,0.010048768483102300
2014-09-17,0.011668788269162200
2014-09-17,0.0278366319835186
2014-10-29,0.02259858325123790
2014-12-17,0.015837451443076100
2015-01-28,0.011570494621992100
2015-03-18,0.010416902601718900
2015-04-29,0.006894461344927550
2015-06-17,0.012372114695608600
2015-07-29,0.0147653603926301
2015-09-17,0.009178971871733670
2015-10-28,0.015234628692269300
2015-12-16,0.006166715174913410
2016-01-27,0.012330419383943100
2016-01-27,0.026609713211655600
2016-03-16,0.010391452349722400
2016-04-27,0.010784241370856800
2016-06-15,0.022799156606197400
2016-07-27,0.045698635280132300
2016-09-21,0.055708546191453900
2016-11-02,0.05255959555506710
